BMI (组),BMI,HR (组),HR,记录数,avg (组),avg,handedness,height,name,weight
Normal(19-24),22.426346406,Lower(0-10),0,1,No recorder(0),0,R,73,Tom Brown,170
Weighter(24-27),24.009382623,Lower(0-10),4,1,Low(0-0.2),.13,R,73,Denny Lemaster,182
Weighter(24-27),24.404879984,Median(10-40),27,1,Median(0.2-0.28),.263,L,71,Joe Nolan,175
Weighter(24-27),25.840159630,Median(10-40),16,1,Median(0.2-0.28),.25,L,69,Denny Doyle,175
Normal(19-24),21.520408163,High(40-180),138,1,Median(0.2-0.28),.275,R,70,Jose Cardenal,150
Weighter(24-27),26.317567568,Median(10-40),28,1,Low(0-0.2),.193,R,74,Mike Ryan,205
Weighter(24-27),25.087770062,Lower(0-10),2,1,Low(0-0.2),.159,B,72,Fritz Peterson,185
Weighter(24-27),27.121913580,Lower(0-10),10,1,Median(0.2-0.28),.25,R,72,Dick Bertell,200
Normal(19-24),23.745543254,Lower(0-10),6,1,Median(0.2-0.28),.241,R,73,Rod Kanehl,180
Weighter(24-27),25.033783784,Lower(0-10),0,1,No recorder(0),0,R,74,Ozzie Osborn,195
Weighter(24-27),24.405141678,Lower(0-10),0,1,No recorder(0),0,L,73,John LaRose,185
Weighter(24-27),24.370666667,Lower(0-10),0,1,No recorder(0),0,R,75,Jeff Byrd,195
Weighter(24-27),25.101869355,Lower(0-10),7,1,Median(0.2-0.28),.256,R,69,Juan Bonilla,170
Weighter(24-27),25.799444555,Lower(0-10),6,1,Median(0.2-0.28),.241,L,71,Frank Tepedino,185
Normal(19-24),23.085944830,Lower(0-10),0,1,No recorder(0),0,L,73,Jerry Kutzler,175
Normal(19-24),23.745543254,Median(10-40),15,1,Low(0-0.2),.195,R,73,Rick Wise,180
Weighter(24-27),25.675675676,Excellent(>180),414,1,Median(0.2-0.28),.248,L,74,Darrell Evans,200
Weighter(24-27),27.259183673,High(40-180),58,1,Median(0.2-0.28),.225,R,70,Buck Martinez,190
Weighter(24-27),25.765817901,High(40-180),86,1,Median(0.2-0.28),.262,R,72,John Wockenfuss,190
Weighter(24-27),24.816550926,High(40-180),75,1,Median(0.2-0.28),.246,L,72,Tommy McCraw,183
Normal(19-24),23.120888889,Lower(0-10),0,1,No recorder(0),0,B,75,Jeff Barkley,185
Weighter(24-27),25.064740101,Lower(0-10),0,1,No recorder(0),0,R,73,Eric Wilkins,190
Weighter(24-27),25.492494518,Lower(0-10),0,1,No recorder(0),0,L,77,Britt Burns,215
Normal(19-24),23.085944830,High(40-180),91,1,High(>0.28),.286,R,73,Lee Lacy,175
Weighter(24-27),26.775639754,High(40-180),160,1,High(>0.28),.303,B,71,Pete Rose,192
Weighter(24-27),26.443865741,Median(10-40),28,1,Median(0.2-0.28),.223,R,72,Danny Walton,195
Weighter(24-27),25.102162269,Lower(0-10),9,1,Median(0.2-0.28),.225,R,71,Bobby Cox,180
Normal(19-24),23.053626543,Lower(0-10),6,1,Median(0.2-0.28),.231,R,72,Brad Wellman,170
Weighter(24-27),27.601351351,High(40-180),63,1,Median(0.2-0.28),.224,R,74,Jeff Newman,215
Normal(19-24),23.867283951,Lower(0-10),8,1,Median(0.2-0.28),.244,R,72,Pedro Gonzalez,176
Weighter(24-27),24.777027027,Lower(0-10),0,1,No recorder(0),0,B,74,Nardi Contreras,193
Weighter(24-27),24.391891892,Median(10-40),12,1,Median(0.2-0.28),.226,R,74,Tommie Reynolds,190
Weighter(24-27),25.101869355,Lower(0-10),5,1,Median(0.2-0.28),.277,R,69,Gene Clines,170
Normal(19-24),23.995733333,High(40-180),159,1,Median(0.2-0.28),.252,R,75,Jim Hickman,192
Normal(19-24),23.733552632,Lower(0-10),0,1,Low(0-0.2),.111,R,76,Jack Billingham,195
Weighter(24-27),25.799444555,Median(10-40),22,1,Median(0.2-0.28),.22,R,71,Jerry Buchek,185
Weighter(24-27),24.404879984,Median(10-40),21,1,Median(0.2-0.28),.254,R,71,Ivan DeJesus,175
Weighter(24-27),25.290540541,Lower(0-10),1,1,Low(0-0.2),.138,R,74,Gary Nolan,197
Weighter(24-27),24.405141678,Lower(0-10),0,1,No recorder(0),0,R,73,Gil Patterson,185
Weighter(24-27),25.064740101,High(40-180),108,1,Median(0.2-0.28),.253,L,73,Fred Whitfield,190
Weighter(24-27),26.167763158,Lower(0-10),4,1,Low(0-0.2),.136,R,76,Larry Dierker,215
Weighter(24-27),25.675675676,Lower(0-10),3,1,Median(0.2-0.28),.241,R,74,Dave Skaggs,200
Normal(19-24),23.745777778,Lower(0-10),1,1,Low(0-0.2),.183,R,75,Dick Ruthven,190
Weighter(24-27),24.370666667,Lower(0-10),0,1,No recorder(0),0,L,75,Jerry Garvin,195
Normal(19-24),23.75,Lower(0-10),0,1,No recorder(0),0,R,74,Steve Eddy,185
Weighter(24-27),24.265285996,Excellent(>180),442,1,Median(0.2-0.28),.236,R,78,Dave Kingman,210
Weighter(24-27),26.078357469,High(40-180),102,1,Median(0.2-0.28),.264,R,71,Eric Soderholm,187
Weighter(24-27),26.085343228,Lower(0-10),0,1,No recorder(0),0,L,77,Kevin Mmahat,220
Normal(19-24),23.053626543,High(40-180),60,1,Median(0.2-0.28),.224,R,72,Ed Brinkman,170
Weighter(24-27),24.404879984,High(40-180),61,1,Median(0.2-0.28),.239,L,71,Wayne Garrett,175
Normal(19-24),23.108108108,Lower(0-10),7,1,Median(0.2-0.28),.259,L,74,Tony Muser,180
Weighter(24-27),24.342105263,Lower(0-10),0,1,No recorder(0),0,R,76,Jim Siwy,200
Weighter(24-27),26.245333333,Lower(0-10),0,1,No recorder(0),0,R,75,Bud Anderson,210
Weighter(24-27),25.824489796,Median(10-40),17,1,Median(0.2-0.28),.219,R,70,Ted Ford,180
Weighter(24-27),25.765817901,Lower(0-10),0,1,No recorder(0),0,L,72,Kevin Stanfield,190
Weighter(24-27),24.409722222,Lower(0-10),9,1,Median(0.2-0.28),.248,L,72,Jim Lyttle,180
Normal(19-24),22.516447368,Lower(0-10),0,1,No recorder(0),0,R,76,John Butcher,185
Weighter(24-27),25.724338525,Lower(0-10),0,1,No recorder(0),0,R,73,Jerry Ujdur,195
Weighter(24-27),24.370666667,Lower(0-10),5,1,Median(0.2-0.28),.262,L,75,Scot Thompson,195
Normal(19-24),23.672448980,Lower(0-10),9,1,Median(0.2-0.28),.274,L,70,Gene Locklear,165
Weighter(24-27),25.799444555,High(40-180),87,1,Median(0.2-0.28),.255,R,71,Bo Diaz,185
Weighter(24-27),25.397185465,Median(10-40),36,1,Median(0.2-0.28),.266,B,69,Bump Wills,172
Weighter(24-27),24.950657895,Lower(0-10),0,1,No recorder(0),0,R,76,Brian Denman,205
Weighter(24-27),27.799961420,High(40-180),63,1,Median(0.2-0.28),.255,L,72,Pat Putnam,205
Weighter(24-27),24.409722222,Median(10-40),27,1,Median(0.2-0.28),.236,R,72,Kurt Bevacqua,180
Weighter(24-27),24.995555556,Lower(0-10),0,1,No recorder(0),0,L,75,Bob Fallon,200
Weighter(24-27),24.405141678,Median(10-40),24,1,Median(0.2-0.28),.23,R,73,Syd O'Brien,185
Weighter(24-27),25.724338525,Excellent(>180),185,1,Median(0.2-0.28),.279,L,73,Chris Chambliss,195
Weighter(24-27),24.405141678,Median(10-40),21,1,Median(0.2-0.28),.225,L,73,Tom Satriano,185
Weighter(24-27),25.675675676,High(40-180),144,1,Median(0.2-0.28),.266,R,74,Jeffrey Leonard,200
Normal(19-24),21.894663757,Lower(0-10),6,1,Median(0.2-0.28),.217,R,71,Dal Maxvill,157
Weighter(24-27),25.074128863,Lower(0-10),0,1,No recorder(0),0,R,78,Steve Curry,217
Normal(19-24),22.886998530,High(40-180),46,1,Median(0.2-0.28),.278,R,69,Cesar Tovar,155
Normal(19-24),22.426346406,Lower(0-10),0,1,Low(0-0.2),.11,B,73,Mickey Lolich,170
Normal(19-24),23.108108108,Lower(0-10),0,1,No recorder(0),0,B,74,Ray Chadwick,180
Normal(19-24),23.731674383,Lower(0-10),9,1,Median(0.2-0.28),.211,R,72,Jack Heidemann,175
Weighter(24-27),26.541836735,High(40-180),77,1,Median(0.2-0.28),.269,R,70,Rich Rollins,185
Weighter(24-27),25.682422689,High(40-180),41,1,Median(0.2-0.28),.256,L,79,Walt Bond,228
Weighter(24-27),27.259183673,High(40-180),66,1,Median(0.2-0.28),.271,R,70,Merv Rettenmund,190
Weighter(24-27),27.141447368,Lower(0-10),0,1,No recorder(0),0,R,76,Bryan Clutterbuck,223
Weighter(24-27),24.391891892,Median(10-40),30,1,Median(0.2-0.28),.236,R,74,Byron Browne,190
Normal(19-24),23.731674383,Median(10-40),18,1,Median(0.2-0.28),.216,R,72,Hector Torres,175
Weighter(24-27),26.628787879,Median(10-40),33,1,Median(0.2-0.28),.27,R,66,Walt Williams,165
Weighter(24-27),26.317567568,Lower(0-10),2,1,Low(0-0.2),.119,R,74,Jerry Koosman,205
Normal(19-24),23.731674383,Median(10-40),20,1,Median(0.2-0.28),.233,R,72,Steve Lombardozzi,175
Weighter(24-27),25.765817901,High(40-180),50,1,Median(0.2-0.28),.252,R,72,Joe Azcue,190
Weighter(24-27),25.102162269,Median(10-40),18,1,Median(0.2-0.28),.261,R,71,Elliott Maddox,180
Normal(19-24),23.108108108,Median(10-40),37,1,Median(0.2-0.28),.252,L,74,Omar Moreno,180
Normal(19-24),23.085944830,High(40-180),78,1,Median(0.2-0.28),.257,R,73,Julian Javier,175
Normal(19-24),21.107149559,Lower(0-10),0,1,No recorder(0),0,L,73,Tony Ferreira,160
Normal(19-24),23.625288805,Lower(0-10),4,1,Median(0.2-0.28),.232,R,69,Elio Chacon,160
Weighter(24-27),25.107142857,Median(10-40),35,1,Median(0.2-0.28),.212,B,70,Rusty Torres,175
